supplier_id,supplier_name,supplier_region,supplier_rating,supplier_type,contact_value,onboarding_date,contact_email
19,Steven Delgado,"['Middle East', 'Europe', 'Middle East']",5,['Supplier'],30750.44,1992-07-16,jsimpson@example.com
20,Sarah Gutierrez,"['Middle East', 'Asia']",1,"['Distributor', 'Wholesaler', 'Supplier', 'Wholesaler']",32245.15,2019-08-06,swilliams@example.org
21,Cassandra Pearson,"['Middle East', 'Middle East', 'North America']",2,"['Supplier', 'Supplier', 'Distributor']",47483.86,1977-05-29,sandra00@example.net
22,Kenneth Tucker,"['Middle East', 'North America', 'Europe']",3,['Distributor'],28456.29,2012-06-08,robertfriedman@example.com
23,Alyssa Willis,"['North America', 'Africa', 'Asia', 'Europe']",5,"['Supplier', 'Wholesaler', 'Distributor', 'Wholesaler']",14329.53,1978-07-25,michaeljustin@example.net
24,Angela Rodgers,['Middle East'],5,"['Supplier', 'Distributor']",16389.92,2004-01-03,samanthasosa@example.net
25,Brendan Kelly,"['North America', 'Africa', 'Europe', 'Asia', 'Africa']",4,"['Wholesaler', 'Distributor']",47348.61,1970-03-27,colebrown@example.org
26,Jimmy Flores,"['North America', 'Asia']",3,"['Wholesaler', 'Manufacturer', 'Manufacturer']",13998.35,1996-08-17,brianshepard@example.org
27,Robert Proctor,"['Europe', 'Middle East', 'Africa']",2,"['Supplier', 'Manufacturer']",48995.19,1981-03-29,joshua48@example.net
28,Ashley Harris,"['Asia', 'Middle East', 'Africa', 'North America', 'Middle East']",4,"['Distributor', 'Distributor']",28081.45,1972-05-07,ogalvan@example.org
29,Thomas Silva,"['Asia', 'Europe']",3,"['Manufacturer', 'Distributor', 'Supplier']",35490.09,2017-03-24,xfuller@example.com
30,Erica Martinez,['Europe'],3,['Manufacturer'],43959.76,2017-04-04,kathleen22@example.com
31,Kelly Lewis,"['Middle East', 'Africa', 'Africa', 'North America']",4,"['Manufacturer', 'Supplier', 'Manufacturer']",38241.37,2011-10-11,deborah52@example.net
32,Diamond Ortiz,"['North America', 'Europe', 'Europe', 'Asia', 'Asia']",4,['Wholesaler'],29893.02,1994-11-02,heather79@example.com
33,John Hayden,"['Africa', 'Middle East']",1,['Supplier'],25623.44,2024-02-21,jacqueline05@example.net
34,Mark Whitney,"['Middle East', 'North America', 'Europe', 'Asia']",3,"['Manufacturer', 'Wholesaler', 'Manufacturer', 'Manufacturer']",33967.21,2012-08-24,milestodd@example.org
35,William Myers,"['Asia', 'North America', 'Africa', 'Asia']",5,['Distributor'],47137.9,2009-01-15,donnajohnson@example.com
36,David Cobb,"['North America', 'North America', 'Europe', 'Asia', 'Africa']",2,['Wholesaler'],30083.56,1993-09-19,yolanda91@example.org
37,Matthew Spencer,"['Asia', 'Africa', 'Asia', 'Africa']",4,"['Supplier', 'Manufacturer']",47517.91,2009-07-17,timothypayne@example.net
38,Laura Jones,"['Middle East', 'Europe']",4,['Wholesaler'],18969.09,1986-04-24,esalazar@example.com
39,William Hernandez,"['North America', 'Europe', 'Middle East', 'Africa', 'Middle East']",2,['Manufacturer'],11719.01,1990-10-03,ronaldvalencia@example.net
40,Heather Crawford,"['North America', 'Europe', 'North America', 'North America']",2,"['Distributor', 'Supplier', 'Distributor']",16984.38,2021-08-06,wfrank@example.net
41,Adam Patterson,['North America'],3,['Distributor'],34780.21,1983-05-27,daniellepalmer@example.net
42,Mr. Joseph Ramos,['North America'],2,['Manufacturer'],40827.55,2005-01-10,walkertina@example.org
43,Andrew Krueger,"['Europe', 'Europe', 'Asia', 'Asia', 'Asia']",2,"['Manufacturer', 'Supplier', 'Manufacturer', 'Supplier']",49418.27,1998-01-08,davidmontgomery@example.org
44,Ronald Thomas,['North America'],4,"['Supplier', 'Supplier']",11000.29,1990-10-26,brookecurry@example.org
45,Brittney Gardner,"['Africa', 'Europe']",1,"['Distributor', 'Manufacturer']",28909.14,1992-06-14,shellywilliams@example.net
46,Ms. Sheri Williams MD,"['Middle East', 'Middle East', 'Middle East']",1,"['Supplier', 'Supplier']",33948.3,1979-03-10,danajohnson@example.org
47,Dr. Allen Parsons,['Middle East'],4,"['Manufacturer', 'Manufacturer']",19066.59,1976-04-29,ghorton@example.com
48,Virginia Hernandez,"['Africa', 'Europe', 'Asia', 'North America']",3,"['Wholesaler', 'Distributor']",21421.84,2015-02-13,mooresarah@example.org
49,Nathaniel Vazquez,"['Middle East', 'North America', 'Africa']",2,"['Manufacturer', 'Manufacturer', 'Distributor', 'Manufacturer']",21363.89,1999-12-05,franciscynthia@example.net
50,Thomas Rodriguez,"['North America', 'Asia']",2,['Wholesaler'],28564.57,1977-02-08,bestrada@example.com
51,Brianna Johnson,"['Asia', 'Europe']",2,['Supplier'],23030.42,1993-01-27,zamorajacob@example.com
52,Melissa Owen,"['Middle East', 'Africa', 'North America', 'Africa', 'North America']",5,"['Wholesaler', 'Wholesaler']",31695.72,2022-08-12,sarahbarr@example.com
53,Manuel Garcia,"['Europe', 'Europe', 'Africa', 'North America']",3,"['Distributor', 'Manufacturer']",32856.66,1973-10-23,aguirresarah@example.net
54,Kevin Sims,"['Asia', 'Africa', 'Middle East']",5,"['Distributor', 'Manufacturer']",37711.64,1974-01-03,uperkins@example.com
55,Paul Ortiz,"['Middle East', 'Europe']",4,"['Distributor', 'Manufacturer']",15589.78,1989-10-12,lawrencenguyen@example.com
56,Christopher Hernandez,"['Asia', 'Asia', 'Middle East', 'Africa']",2,"['Supplier', 'Wholesaler']",30896.55,2001-10-03,oconnorrobert@example.net
57,Latoya Bennett,"['Africa', 'Asia']",2,"['Supplier', 'Wholesaler']",32377.38,1990-10-17,deanna91@example.com
58,Matthew Harris,"['Europe', 'Middle East', 'Europe', 'Middle East']",2,['Manufacturer'],19812.34,1977-05-18,butlerjason@example.com
59,George Dickson,"['Africa', 'Africa']",2,['Distributor'],15587.13,1989-05-08,jennifer75@example.com
60,Albert Kramer,"['Africa', 'North America', 'North America']",3,"['Supplier', 'Distributor', 'Distributor']",30439.24,1983-07-30,amandarogers@example.com
61,Nicole Wolf,"['North America', 'Middle East']",1,"['Distributor', 'Wholesaler']",42544.17,2016-05-12,parkerbreanna@example.com
62,Stephanie Harrison,"['Africa', 'Middle East']",2,"['Supplier', 'Wholesaler', 'Wholesaler', 'Distributor']",30136.9,1970-07-08,jessicafritz@example.org
63,Richard Anderson,"['Asia', 'Europe', 'Africa', 'Middle East', 'Africa']",2,"['Distributor', 'Wholesaler', 'Supplier', 'Wholesaler']",35373.61,1994-05-23,thomashodge@example.net
64,Craig Calderon,"['Middle East', 'Asia', 'Asia', 'Africa']",4,"['Distributor', 'Distributor']",18646.44,1999-07-06,ypeters@example.org
65,Cameron Stephens,"['Asia', 'North America', 'North America', 'Middle East', 'Europe']",2,"['Supplier', 'Wholesaler', 'Supplier', 'Distributor']",44383.49,2014-01-29,bwashington@example.com
66,Sara Foster,"['Middle East', 'Africa']",1,"['Supplier', 'Distributor', 'Supplier']",25303.75,1971-12-24,vray@example.net
67,Jeffrey Mccoy,"['North America', 'Europe', 'Africa']",4,"['Manufacturer', 'Wholesaler']",11932.43,1991-08-16,elizabeth80@example.com
68,Rebecca Davis,"['Africa', 'Europe']",2,['Supplier'],28485.56,1982-11-02,jacob13@example.org
69,Whitney Wilkins,"['Africa', 'Middle East', 'Middle East']",1,['Wholesaler'],26355.75,2018-08-01,gromero@example.net
70,Brian David,"['North America', 'Middle East']",3,['Manufacturer'],26966.81,2002-04-23,emorgan@example.com
71,Mark Hill,"['Asia', 'Europe']",5,"['Distributor', 'Distributor', 'Manufacturer', 'Supplier']",47948.16,2023-08-04,john16@example.org
72,Ian Smith,"['North America', 'Europe', 'Africa', 'Asia']",1,"['Manufacturer', 'Wholesaler', 'Distributor']",31553.8,2023-03-24,laurasandoval@example.org
73,Shannon Christensen,"['Africa', 'North America', 'Africa']",4,"['Distributor', 'Wholesaler', 'Supplier', 'Supplier']",25517.93,1990-01-06,jose94@example.com
74,James Keller,"['Africa', 'Asia', 'Europe']",4,"['Wholesaler', 'Manufacturer']",31476.02,2008-10-25,victoriagibson@example.net
75,Randy Turner,"['Asia', 'Middle East', 'Europe', 'Europe', 'Middle East']",1,"['Manufacturer', 'Wholesaler', 'Supplier', 'Distributor']",18453.35,1997-07-20,bradley79@example.com
76,Caroline Moore,"['North America', 'Africa', 'Europe']",2,"['Supplier', 'Manufacturer', 'Manufacturer', 'Supplier']",12487.29,2004-06-17,peterscatherine@example.org
77,Victoria Ruiz,['Middle East'],2,"['Supplier', 'Distributor']",43902.95,1977-07-27,joseph76@example.org
78,Richard Osborn,"['Middle East', 'Europe', 'Asia']",5,"['Distributor', 'Distributor']",15286.77,2007-08-17,pshepard@example.com
79,Andrew Johnson,"['North America', 'Asia', 'Asia', 'North America']",4,"['Manufacturer', 'Distributor']",13537.34,1989-06-10,javierlopez@example.com
80,Elizabeth Garcia,"['Asia', 'North America', 'Middle East']",5,"['Manufacturer', 'Wholesaler']",29189.91,1976-01-28,mcintyrecarolyn@example.net
81,Steven Shelton,"['North America', 'Asia', 'Africa', 'Europe']",1,"['Distributor', 'Distributor', 'Manufacturer', 'Supplier']",25285.82,2016-02-05,jessicaluna@example.com
82,Nicholas Mcbride,"['North America', 'North America']",3,"['Wholesaler', 'Wholesaler', 'Wholesaler']",32455.74,1972-07-23,wintersdiana@example.com
83,Gloria Adams,"['North America', 'Africa', 'Africa', 'North America']",4,"['Wholesaler', 'Manufacturer']",12639.7,1997-05-02,travismccullough@example.org
84,Jenny Buchanan,"['Africa', 'Europe', 'Africa']",3,"['Wholesaler', 'Supplier']",47570.75,1975-11-27,josebrown@example.com
85,Elizabeth Williamson,"['Africa', 'Africa', 'Europe', 'Europe', 'North America']",1,"['Manufacturer', 'Wholesaler']",16957.63,1970-01-19,stephanie98@example.com
86,Linda Mueller,"['Asia', 'Europe', 'Africa']",4,"['Distributor', 'Manufacturer']",28991.31,1987-07-04,pjohnson@example.org
87,Mr. Adam Watson DVM,['Asia'],5,['Manufacturer'],46049.71,2005-01-14,reedmichael@example.com
88,Connie Barnes,"['Europe', 'Africa', 'Europe', 'Middle East']",4,"['Distributor', 'Supplier', 'Supplier', 'Supplier']",41510.15,1995-03-04,kimberlylawrence@example.com
89,Beth Simon,"['Middle East', 'North America', 'Europe']",2,"['Manufacturer', 'Manufacturer']",28180.68,2014-03-23,kirsten17@example.org
90,Victoria Evans,"['Africa', 'Africa']",4,['Wholesaler'],46230.43,2007-01-04,pattersonanne@example.com
91,David Turner,"['Africa', 'North America', 'Middle East', 'Middle East']",3,"['Manufacturer', 'Wholesaler', 'Manufacturer', 'Manufacturer']",18802.16,2016-10-26,kimberly78@example.net
92,Joshua Campbell,"['North America', 'North America']",1,"['Manufacturer', 'Wholesaler', 'Distributor']",12031.38,2020-06-18,kwhite@example.com
93,Courtney Campos,"['Europe', 'Middle East', 'Asia', 'Africa']",5,"['Wholesaler', 'Distributor']",11864.38,1991-04-07,richardchavez@example.org
94,Susan Ortega,"['Africa', 'North America', 'North America', 'Middle East']",5,"['Supplier', 'Distributor', 'Wholesaler']",43971.65,1981-02-17,richard61@example.com
95,Brandi Silva,"['Middle East', 'Asia', 'Africa']",3,"['Manufacturer', 'Manufacturer', 'Manufacturer', 'Distributor']",27002.73,1983-09-18,nicole57@example.com
96,Kristen Rogers,"['Asia', 'Middle East', 'North America', 'North America', 'Asia']",4,['Distributor'],15566.3,1991-11-26,miguel75@example.net
97,Casey Sanchez,"['Europe', 'North America', 'Europe']",2,"['Manufacturer', 'Manufacturer', 'Distributor']",37266.6,2025-07-07,billypetersen@example.com
98,Andrea Evans,"['North America', 'North America', 'Africa', 'North America', 'North America']",2,"['Manufacturer', 'Manufacturer', 'Wholesaler']",35071.2,1986-10-02,amanda14@example.com
99,Donna Hernandez,['Middle East'],2,"['Wholesaler', 'Manufacturer', 'Distributor', 'Wholesaler']",49937.62,2012-04-16,erikhoward@example.org
100,Robert Schmidt MD,['Asia'],4,"['Distributor', 'Supplier']",30701.18,2008-06-20,scottmontgomery@example.com
101,Shelly Long,"['Asia', 'Africa', 'Europe', 'Europe']",4,"['Wholesaler', 'Wholesaler']",39170.73,2016-03-16,cramirez@example.org
102,Dana Nelson,"['Europe', 'Africa', 'Asia']",2,"['Distributor', 'Distributor', 'Supplier', 'Manufacturer']",24857.31,2022-12-31,lawrencemichelle@example.com
103,Tanya Williams,"['North America', 'Asia', 'Asia']",2,"['Wholesaler', 'Supplier', 'Manufacturer']",36352.38,1978-12-15,brandy25@example.com
104,Stephen Aguilar,"['Europe', 'Asia', 'Africa', 'Africa', 'North America']",2,"['Supplier', 'Distributor']",31013.01,1981-12-19,edwardfields@example.net
105,Valerie Clarke,"['Middle East', 'Africa']",3,"['Supplier', 'Manufacturer', 'Distributor', 'Wholesaler']",34139.94,2019-05-31,brian41@example.com
106,Samantha Chavez,"['Europe', 'Europe', 'Asia', 'Africa', 'North America']",2,"['Manufacturer', 'Supplier']",27064.94,2016-11-28,benjamin35@example.net
107,Julie Curry,"['North America', 'Africa', 'Middle East', 'Middle East', 'Europe']",3,"['Supplier', 'Supplier', 'Wholesaler']",26906.85,1978-10-14,iwilliams@example.org
108,Katelyn Butler,"['North America', 'Asia', 'Middle East', 'Europe']",4,['Wholesaler'],30069.98,2004-05-14,zdavis@example.org
109,Brian Vincent,"['North America', 'Africa', 'Asia']",3,"['Supplier', 'Supplier', 'Distributor']",20506.23,2000-01-15,lisarobinson@example.com
110,Angelica Sanchez,"['Africa', 'Middle East', 'North America']",3,"['Manufacturer', 'Manufacturer']",14571.92,1992-06-03,jamie66@example.org
111,Jonathan Walker,"['Asia', 'Europe']",2,"['Manufacturer', 'Distributor']",27760.19,1985-02-04,pamelawood@example.net
112,Katherine Allen,"['Middle East', 'North America']",3,"['Wholesaler', 'Wholesaler', 'Supplier', 'Manufacturer']",48828.2,1988-10-08,bjones@example.net
113,Laura Brown,"['Europe', 'Africa', 'Middle East']",3,"['Distributor', 'Manufacturer', 'Manufacturer']",18397.57,2007-06-15,mhiggins@example.com
114,Ryan Munoz,"['Africa', 'Africa', 'Asia', 'North America', 'Europe']",2,"['Manufacturer', 'Manufacturer', 'Distributor']",38976.02,1985-05-12,christina37@example.com
115,Elizabeth Perez,"['Asia', 'North America', 'Africa', 'Africa', 'North America']",2,"['Supplier', 'Wholesaler', 'Manufacturer']",35542.56,1999-01-03,brian94@example.com
116,Austin Higgins,"['Middle East', 'Africa', 'Middle East', 'Europe']",1,"['Manufacturer', 'Manufacturer', 'Distributor', 'Wholesaler']",46998.45,1995-05-12,rebecca54@example.org
117,Kendra Stevens,"['Middle East', 'North America', 'Africa', 'Middle East', 'Middle East']",4,['Supplier'],23759.78,1990-02-04,tanderson@example.org
118,Kevin Rivera,"['Africa', 'North America', 'North America', 'Africa', 'Africa']",1,"['Distributor', 'Distributor', 'Distributor', 'Supplier']",33496.84,1990-11-25,plozano@example.net
119,Stephen Rogers,"['Europe', 'Asia', 'Middle East']",3,"['Supplier', 'Distributor']",48674.39,1987-01-16,anthony10@example.org
120,Brooke Pena,['Asia'],2,"['Manufacturer', 'Manufacturer', 'Supplier']",38760.05,2009-10-07,mlopez@example.net
121,Christina Jones,"['Asia', 'Africa']",2,['Wholesaler'],15790.47,1975-10-02,jameshurley@example.org
122,Mrs. Doris Neal,"['Asia', 'Europe', 'Middle East']",4,['Supplier'],47327.58,2024-01-09,clarkmichael@example.org
123,Paul Hall,['Africa'],4,['Supplier'],20416.28,1970-11-02,ismith@example.net
124,Don Fuller,"['North America', 'Middle East', 'Europe', 'Europe']",2,['Supplier'],22653.85,2003-11-30,robertcarroll@example.com
125,Johnny Moore,"['Asia', 'Middle East', 'North America', 'Asia', 'Middle East']",2,['Manufacturer'],31927.98,1971-11-10,ucooper@example.com
126,Jill Cox,"['Middle East', 'Europe', 'Asia', 'North America']",3,"['Distributor', 'Supplier', 'Distributor', 'Wholesaler']",41858.81,2014-12-26,millerpatrick@example.org
127,Christopher Lewis,"['Africa', 'Africa', 'Middle East', 'Asia']",5,"['Manufacturer', 'Distributor', 'Distributor']",19082.99,1978-07-21,pmoses@example.net
128,Lindsay Lee,"['North America', 'Africa']",2,"['Supplier', 'Manufacturer']",32568.82,2024-03-26,traceymccarthy@example.org
129,Mrs. Alexis Roberson,"['Asia', 'Middle East', 'Asia', 'North America']",1,"['Wholesaler', 'Wholesaler']",18154.75,1990-08-16,weaverlisa@example.com
130,Brittany Mckay,"['Africa', 'Africa']",5,"['Supplier', 'Wholesaler', 'Manufacturer', 'Manufacturer']",47987.89,2015-02-13,nicholas93@example.com
131,Jonathan Jones,"['Asia', 'Asia', 'Middle East', 'North America']",2,['Wholesaler'],33357.91,2025-12-19,jennifer54@example.net
132,Christina Leon,"['Asia', 'Europe', 'Middle East', 'Europe']",2,"['Manufacturer', 'Supplier', 'Wholesaler']",35911.19,2016-02-25,sonyarivas@example.com
133,Brooke Durham,['Europe'],1,"['Distributor', 'Supplier']",11696.26,1984-03-03,jreilly@example.com
134,Laurie Hensley,"['Europe', 'North America', 'Middle East', 'Africa']",5,"['Supplier', 'Distributor', 'Distributor', 'Manufacturer']",41354.72,1987-02-23,scottjoshua@example.com
135,Christine Brown,"['Europe', 'Middle East', 'Europe', 'North America']",1,"['Manufacturer', 'Manufacturer', 'Manufacturer', 'Distributor']",48342.57,1981-06-25,maybrian@example.com
136,Anna Williams,"['Asia', 'Asia', 'Asia', 'Middle East']",2,"['Manufacturer', 'Manufacturer']",44610.77,1980-08-14,benjamin63@example.com
137,Robert Wagner,"['Europe', 'Asia', 'Europe', 'Middle East']",2,"['Distributor', 'Manufacturer']",31682.21,2002-05-04,zstone@example.org
138,Karen Baker,['Europe'],4,"['Distributor', 'Wholesaler']",15478.69,1996-09-22,hmoody@example.net
139,James Camacho,"['North America', 'North America', 'Europe']",3,"['Distributor', 'Distributor', 'Manufacturer', 'Supplier']",13213.8,2021-11-26,cruzlori@example.org
140,David Taylor,['North America'],3,['Distributor'],29943.72,2011-09-26,kingphillip@example.net
141,Gabriel Gaines,"['Europe', 'Africa', 'Asia']",3,"['Distributor', 'Distributor']",13687.13,2021-01-21,laura04@example.com
142,Sarah Benitez,"['North America', 'Asia', 'Europe', 'Europe']",4,"['Distributor', 'Wholesaler', 'Supplier']",20181.65,2021-12-14,ldougherty@example.com
143,Alice Martin,"['North America', 'Asia', 'Africa', 'North America', 'North America']",4,['Supplier'],36015.94,1991-11-15,wwilson@example.org
144,Donna Smith,"['Middle East', 'Middle East', 'Asia', 'Europe']",1,['Manufacturer'],33018.47,1981-02-02,julia14@example.org
145,Peter Dixon,"['Asia', 'Middle East', 'Asia']",3,['Distributor'],36061.66,2023-09-07,georgemartinez@example.net
146,Chad Harris,"['Europe', 'Asia']",5,['Manufacturer'],23802.6,1974-12-01,wisesheila@example.com
147,Joy Gibson,"['Africa', 'Asia', 'North America', 'Asia']",2,"['Manufacturer', 'Manufacturer', 'Supplier']",42581.8,2014-09-13,harriseric@example.net
148,Timothy Taylor,"['North America', 'Middle East', 'North America']",2,"['Supplier', 'Distributor']",37205.5,1987-07-24,stephaniedrake@example.net
149,Patricia Diaz,"['North America', 'Europe', 'Asia']",4,"['Supplier', 'Manufacturer']",30656.95,2013-04-09,fuentesmelissa@example.org
150,Victor Arias,"['Africa', 'Africa']",5,"['Supplier', 'Supplier']",28925.29,1976-10-24,ymichael@example.org
151,Ashlee Galvan,"['Middle East', 'Europe', 'Asia', 'Asia', 'Middle East']",1,['Distributor'],21024.9,1984-07-24,gary56@example.net
152,Katherine Santana,"['North America', 'Middle East', 'Middle East', 'North America', 'Asia']",5,"['Distributor', 'Supplier', 'Distributor']",33224.21,1977-01-25,williamsmatthew@example.org
153,Heather Bolton,"['Asia', 'Europe', 'North America']",3,['Manufacturer'],37410.24,2023-11-22,darryl12@example.net
154,Michelle Dean,"['Asia', 'Africa', 'Europe', 'Africa']",4,"['Distributor', 'Wholesaler', 'Manufacturer']",45165.51,2005-10-11,bonniejames@example.org
155,Julie Murphy,"['Africa', 'North America']",3,"['Wholesaler', 'Distributor']",24312.8,1984-09-07,kimberly61@example.org
156,Zachary Hooper,"['Middle East', 'North America']",3,"['Distributor', 'Wholesaler']",12419.13,1983-08-26,sandrajohnson@example.org
157,Jermaine Villarreal,"['Asia', 'Asia', 'North America', 'Europe']",4,"['Distributor', 'Distributor', 'Wholesaler']",28231.42,1979-09-16,veronica67@example.com
158,Jesse Foley,"['Middle East', 'Middle East', 'Asia', 'Europe']",2,['Distributor'],17090.73,1993-07-15,hdrake@example.net
159,Stephen Hanson,"['Africa', 'Asia', 'Africa']",5,"['Distributor', 'Supplier']",35283.22,1984-01-18,ramseymike@example.com
160,Sara Jensen,"['Asia', 'Europe', 'North America', 'Africa', 'Middle East']",5,['Wholesaler'],47064.86,2023-03-25,dunnheather@example.net
161,Ashley Ryan,"['Asia', 'Africa', 'Middle East']",4,"['Manufacturer', 'Wholesaler', 'Manufacturer']",49066.91,2017-06-13,wardjane@example.com
162,Anthony Rodgers,"['Asia', 'Europe', 'Middle East', 'Europe', 'Asia']",3,"['Wholesaler', 'Manufacturer', 'Wholesaler', 'Supplier']",11393.47,1979-01-20,nicholaslucas@example.org
163,Linda Brown,"['Middle East', 'Middle East', 'Asia', 'Asia', 'Middle East']",5,"['Distributor', 'Manufacturer', 'Supplier']",10856.56,2007-02-10,fsanchez@example.org
164,Laurie Quinn,"['Europe', 'Europe', 'North America']",2,['Distributor'],31312.34,1987-01-09,thomashernandez@example.org
165,Nancy Anderson,"['Asia', 'Europe', 'North America', 'North America', 'Africa']",2,"['Distributor', 'Wholesaler']",47605.99,1994-08-06,bushmatthew@example.org
166,Corey Tate,"['Asia', 'North America']",4,"['Wholesaler', 'Wholesaler', 'Manufacturer']",21630.02,2009-02-23,chloe64@example.org
167,Kevin Lee,"['Middle East', 'Europe', 'Asia']",5,['Wholesaler'],42959.55,1973-09-09,nicole07@example.com
168,Thomas Burke,"['Africa', 'Africa']",4,"['Wholesaler', 'Wholesaler', 'Manufacturer']",16035.01,1986-01-02,dknight@example.org
169,Melissa Browning,['Middle East'],1,"['Supplier', 'Supplier', 'Manufacturer']",44606.64,1990-01-10,reynoldsdebra@example.org
170,Christine Shaffer,"['Europe', 'Africa', 'Asia']",4,"['Distributor', 'Wholesaler', 'Wholesaler']",23620.16,1970-12-29,morrisdana@example.net
171,Wendy Gomez,"['Asia', 'North America', 'Africa', 'Middle East', 'Middle East']",5,"['Wholesaler', 'Wholesaler', 'Supplier', 'Manufacturer']",15880.72,1981-10-25,ysanchez@example.com
172,Dakota Thomas,"['Europe', 'Middle East', 'North America']",2,"['Manufacturer', 'Distributor']",23369.4,1974-03-18,garzakelli@example.com
173,Mr. Jorge Alvarez,['Asia'],2,"['Distributor', 'Wholesaler']",22933.52,2013-05-08,wrightjeffrey@example.org
174,Christopher Cox,"['Africa', 'North America', 'Europe', 'Africa', 'Europe']",3,"['Distributor', 'Distributor']",22494.8,2015-01-03,phillipsjoshua@example.net
175,Lisa Smith DVM,"['Europe', 'Europe']",5,"['Distributor', 'Wholesaler', 'Distributor']",46736.64,2014-08-12,jenningslucas@example.com
176,Joe Baker,"['Africa', 'Africa']",1,"['Manufacturer', 'Wholesaler', 'Distributor', 'Supplier']",20656.77,1975-03-27,kclarke@example.net
177,Thomas Avery,"['Africa', 'Europe', 'North America', 'Middle East']",2,"['Distributor', 'Wholesaler']",42260.18,1998-11-12,stephengould@example.org
178,Nicholas Morales,"['Asia', 'Europe', 'North America']",1,"['Distributor', 'Supplier', 'Distributor', 'Distributor']",14759.0,2004-02-18,knighteric@example.com
179,Derek Duffy,"['Africa', 'Middle East', 'Europe', 'Asia', 'Asia']",2,"['Distributor', 'Manufacturer', 'Supplier']",26743.87,1975-11-16,yadams@example.com
180,Taylor Roy,"['North America', 'Africa']",3,['Supplier'],18163.54,2013-04-21,gmiles@example.net
181,Glen Bailey,"['Asia', 'Middle East']",3,"['Wholesaler', 'Manufacturer', 'Manufacturer']",43791.5,2015-05-18,maryallen@example.net
182,Glenn Lopez,"['Middle East', 'Europe', 'Europe', 'Middle East', 'Africa']",1,"['Wholesaler', 'Wholesaler', 'Distributor', 'Wholesaler']",22515.38,2009-02-10,cashley@example.net
183,Justin Cantu,"['Africa', 'Europe', 'Asia']",4,"['Wholesaler', 'Supplier']",34120.35,1992-06-26,michelle10@example.net
184,Mary Reyes,"['Middle East', 'Middle East']",1,['Wholesaler'],48882.68,2011-02-25,leslie30@example.net
185,Olivia Simpson,['Asia'],4,"['Manufacturer', 'Distributor']",24847.96,1994-05-12,rose83@example.net
186,Randy Wilson,"['North America', 'Asia', 'North America', 'North America', 'Africa']",5,"['Wholesaler', 'Supplier', 'Wholesaler']",27053.18,1998-12-04,umcgrath@example.net
187,Jodi Brown,"['Middle East', 'Asia', 'Middle East', 'North America']",3,"['Supplier', 'Distributor', 'Supplier']",42458.4,2010-12-21,gloriapark@example.com
